ANIO;MES;APELLIDO;NOMBRES;CARGO;ASIG_MENSUALES;SALARIO_FAMILIAR;DESCUENTOS_MENSUALES;LIQUIDO
2012;AGOSTO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;32491,5;0;14127,8;18363,7
2012;AGOSTO;SANTILLI;DIEGO CESAR;MINISTRO;32491,5;0;13825,3;18666,2
2012;AGOSTO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;32491,5;0;14377,2;18114,3
2012;AGOSTO;IBARRA;ANDRES HORACIO;MINISTRO;32491,5;0;15652,3;16839,2
2012;AGOSTO;REYBAUD;GRACIELA MABEL;MINISTRO;25993,2;0;12504,1;13489,1
2012;AGOSTO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;30866,9;0;13231;17636
2012;AGOSTO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;30866,9;0;13751,8;17115,1
2012;AGOSTO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;30866,9;0;12985,5;17881,4
2012;AGOSTO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;31405,9;539;13810,4;17595,5
2012;AGOSTO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;32491,5;0;13746;18745,5
2012;AGOSTO;PEÑA;MARCOS;SECRETARIO GENERAL;32793,5;302;14401,1;18392,4
2012;AGOSTO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;30866,9;0;14591,3;16275,7
2012;AGOSTO;GAYTAN;FACUNDO AMADO;SECRETARIO GRAL COMUNICACIÓN;30866,9;0;13751,8;17115,1
2012;SETIEMBRE;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;SETIEMBRE;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;39678,7;0;17058,5;22620,2
2012;SETIEMBRE;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;32491,5;0;15781,7;16709,8
2012;SETIEMBRE;GRINDETTI;NESTOR OSVALDO;MINISTRO;32491,5;0;14072,5;18419,1
2012;SETIEMBRE;BULLRICH;ESTEBAN JOSE;MINISTRO;32491,5;0;15824,3;16667,3
2012;SETIEMBRE;CABRERA;FRANCISCO ADOLFO;MINISTRO;32491,5;0;14617,9;17873,6
2012;SETIEMBRE;CHAIN;DANIEL GUSTAVO;MINISTRO;32491,5;0;14556,3;17935,3
2012;SETIEMBRE;MONZO;EMILIO;MINISTRO;33123;631,5;14947,5;18175,5
2012;SETIEMBRE;STANLEY;CAROLINA;MINISTRO;32491,5;0;14556,1;17935,4
2012;SETIEMBRE;LOMBARDI;HERNAN SANTIAGO;MINISTRO;32491,5;0;14513,7;17977,8
2012;SETIEMBRE;SANTILLI;DIEGO CESAR;MINISTRO;32491,5;0;14072,5;18419,1
2012;SETIEMBRE;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;32491,5;0;14617,9;17873,6
2012;SETIEMBRE;IBARRA;ANDRES HORACIO;MINISTRO;32491,5;0;15893;16598,5
2012;SETIEMBRE;REYBAUD;GRACIELA MABEL;MINISTRO;25993,2;0;12920,5;13072,7
2012;SETIEMBRE;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;30866,9;0;13478,1;17388,8
2012;SETIEMBRE;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;30866,9;0;13992,5;16874,5
2012;SETIEMBRE;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;30866,9;0;13408,4;17458,6
2012;SETIEMBRE;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;31405,9;539;14051,1;17354,9
2012;SETIEMBRE;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;32491,5;0;13993,1;18498,4
2012;SETIEMBRE;PEÑA;MARCOS;SECRETARIO GENERAL;32793,5;302;14766,7;18026,8
2012;SETIEMBRE;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;30866,9;0;14838,4;16028,5
2012;SETIEMBRE;GAYTAN;FACUNDO AMADO;SECRETARIO GRAL COMUNICACIÓN;30866,9;0;13992,5;16874,5
2012;OCTUBRE;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;OCTUBRE;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;39678,7;0;17195,5;22483,2
2012;OCTUBRE;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;34999,5;0;16363,6;18635,9
2012;OCTUBRE;GRINDETTI;NESTOR OSVALDO;MINISTRO;34999,5;0;14911,4;20088,1
2012;OCTUBRE;BULLRICH;ESTEBAN JOSE;MINISTRO;34999,5;0;16869,2;18130,3
2012;OCTUBRE;CABRERA;FRANCISCO ADOLFO;MINISTRO;34999,5;0;15500,6;19498,9
2012;OCTUBRE;CHAIN;DANIEL GUSTAVO;MINISTRO;34999,5;0;15512,2;19487,3
2012;OCTUBRE;MONZO;EMILIO;MINISTRO;35951;631,5;15933,5;20017,5
2012;OCTUBRE;STANLEY;CAROLINA;MINISTRO;34999,5;0;15018,8;19980,8
2012;OCTUBRE;LOMBARDI;HERNAN SANTIAGO;MINISTRO;34999,5;0;15500,6;19498,9
2012;OCTUBRE;SANTILLI;DIEGO CESAR;MINISTRO;34999,5;0;14911,4;20088,1
2012;OCTUBRE;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;34999,5;0;15500,6;19498,9
2012;OCTUBRE;IBARRA;ANDRES HORACIO;MINISTRO;34999,5;0;16415,5;18584,1
2012;OCTUBRE;REYBAUD;GRACIELA MABEL;MINISTRO;34999,5;0;17291,9;17707,6
2012;OCTUBRE;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;33249,5;0;14275,1;18974,5
2012;OCTUBRE;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;33249,5;0;14831;18418,5
2012;OCTUBRE;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;33249,5;0;14205,3;19044,2
2012;OCTUBRE;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;33788,5;539;14899,6;18888,9
2012;OCTUBRE;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;34999,5;0;14832,1;20167,5
2012;OCTUBRE;PEÑA;MARCOS;SECRETARIO GENERAL;35301,5;302;15657,7;19643,8
2012;OCTUBRE;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;33249,5;0;15813,4;17436,1
2012;OCTUBRE;GAYTAN;FACUNDO AMADO;SECRETARIO GRAL COMUNICACIÓN;33249,5;0;14831;18418,5
